prijs;discipline;jaar;laureaat;motivering
Nobelprijs;literatuur;1930;Sinclair Lewis (VS);for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters
Nobelprijs;natuurkunde;1930;Sir Chandrasekhara Venkata Raman (Ind) ;voor zijn verrichtingen op het gebied van de lichtverstrooiing en voor de ontdekking van het naar hem genoemde effect
Nobelprijs;scheikunde;1930;Hans Fischer (Dui) ;voor zijn onderzoek naar haemine en chlorofyl
Nobelprijs;vrede;1930;Lars Olof Nathan Söderblom (Zwe);leider van de oecumenische beweging
Nobelprijs;geneeskunde;1931;Otto Heinrich Warburg (Dui) ;voor onderzoek naar cytochroom in de celademhaling
Nobelprijs;literatuur;1931;Erik Axel Karlfeldt (Zwe);the poetry of Erik Axel Karlfeldt
Nobelprijs;scheikunde;1931;Carl Bosch (Dui), Friedrich Bergius (Dui) ;voor hun bijdrage aan de chemische hoge druk methodes
Nobelprijs;vrede;1931;Jane Addams (VS);internationaal voorzitster van de Internationale Vrouwenbeweging voor Vrede en Vrijheid
Nobelprijs;vrede;1931;Nicholas Murray Butler (VS);voor het bevorderen van het Briand-Kellogg Pact
Nobelprijs;geneeskunde;1932;Charles Scott Sherrington (GB), Edgar Douglas Adrian (GB) ;voor onderzoek naar de functie van neuronen, inclusief het feit dat sterkere stimuli leiden tot een hogere frequentie van zenuwimpulsen
Nobelprijs;literatuur;1932;John Galsworthy (GB);for his distinguished art of narration which takes its highest form in The Forsyte Saga
Nobelprijs;natuurkunde;1932;Werner Karl Heisenberg (Dui) ;voor de creatie van de kwantummechanica, waarvan de toepassing onder ander heeft geleid tot de ontdekking van de allotrope vormen van waterstof
Nobelprijs;scheikunde;1932;Irving Langmuir (VS) ;voor zijn verdiensten op het gebied van de grensvlakchemie
Nobelprijs;geneeskunde;1933;Thomas Hunt Morgan (VS) ;voor de ontdekking van de rol van chromosomen in erfelijkheid
Nobelprijs;literatuur;1933;Ivan Boenin (Rus);for the strict artistry with which he has carried on the classical Russian traditions in prose writing
Nobelprijs;natuurkunde;1933;Erwin Schrödinger (Dui), Paul Adrien Maurice Dirac (GB) ;voor de ontdekking van nieuwe, productieve vormen van de atoomtheorie
Nobelprijs;vrede;1933;Sir Norman Angell (GB);schrijver, lid van het uitvoerend comité van de Volkenbond en de Nationale Vredesraad
Nobelprijs;geneeskunde;1934;George Hoyt Whipple (VS), George Richards Minot (VS), William Parry Murphy (VS) ;voor het ontdekken van levertherapie voor bloedarmoede
Nobelprijs;literatuur;1934;Luigi Pirandello (Ita);for his bold and ingenious revival of dramatic and scenic art
Nobelprijs;scheikunde;1934;Harold Clayton Urey (VS) ;voor zijn ontdekking van deuterium
Nobelprijs;vrede;1934;Arthur Henderson (GB);voorzitter van de Volkenbond en van de ontwapeningsconferentie in Genève in 1932
Nobelprijs;geneeskunde;1935;Hans Spemann (Dui) ;voor de ontdekking van organizer-centra in de embryonale ontwikkeling van organismen
Nobelprijs;natuurkunde;1935;James Chadwick (GB) ;voor de ontdekking van het neutron
Nobelprijs;scheikunde;1935;Jean Frédéric Joliot (Fra), Irene Joliot-Curie (Fra) ;voor hun synthese van nieuwe radioactieve elementen
Nobelprijs;vrede;1935;Carl Von Ossietzky (Dui);pacifistisch journalist
Nobelprijs;geneeskunde;1936;Henry Hallett Dale (GB), Otto Loewi (Oos) ;voor onderzoek naar de transmissie van zenuwimpulsen via neurotransmitters
Nobelprijs;literatuur;1936;Eugene Gladstone O'Neill (VS);for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy
Nobelprijs;natuurkunde;1936;Victor Franz Hess (Oos);voor zijn ontdekking van kosmische straling
Nobelprijs;natuurkunde;1936;Carl David Anderson (VS) ;voor zijn ontdekking van het positron
Nobelprijs;scheikunde;1936;Petrus Josephus Wilhelmus Debye (Ned) ;voor zijn verdiensten op het gebied van de moleculaire structuur door onderzoek naar dipoolmomenten en de diffractie van röntgenstralen en elektronen in gassen
Nobelprijs;vrede;1936;Carlos Saavedra Lamas (Arg);voorzitter van de Volkenbond en bemiddelaar in de Chaco-oorlog tussen Paraguay en Bolivia
Nobelprijs;geneeskunde;1937;Albert Szent-Györgyi von Nagyrapolt (Hon) ;voor de beschrijving van vitamine C en de ontdekking dat zuurstof wordt gecombineerd met waterstof in de celademhaling
Nobelprijs;literatuur;1937;Roger Martin du Gard (Fra);for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel cycle Les Thibault
Nobelprijs;natuurkunde;1937;Clinton Davisson (VS), George Paget Thomson (GB) ;voor hun experimentele ontdekking van de diffractie van elektronen door kristallen
Nobelprijs;scheikunde;1937;Walter Norman Haworth (GB);voor zijn verdiensten op het gebied van de koolhydraten en vitamine C
Nobelprijs;scheikunde;1937;Paul Karrer (Zwi) ;voor zijn verdiensten op het gebied van de caroteno‹den, flavines, vitamine A en vitamine B2
Nobelprijs;vrede;1937;Lord Edgar Algernon Robert Gascoyne Cecil (GB);oprichter en voorzitter van de Internationale Peace Campaign, mede-ontwerper van het Volkenbondshandvest
Nobelprijs;geneeskunde;1938;Corneille Jean François Heymans (Bel) ;voor het aantonen hoe de bloeddruk en het zuurstofgehalte van het bloed door het lichaam worden gemeten en hoe dit wordt overgedragen naar de hersenen
Nobelprijs;literatuur;1938;Pearl S. Buck (VS);for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces
Nobelprijs;natuurkunde;1938;Enrico Fermi (Ita) ;voor het aantonen van het bestaan van nieuwe radioactieve elementen door bestraling met neutronen, en voor zijn daarmee samenhangende ontdekking van kernreacties veroorzaakt door langzame neutronen
Nobelprijs;scheikunde;1938;Richard Kuhn (Dui) ;voor zijn verdiensten op het gebied van de caroteno‹den en de vitamines
Nobelprijs;vrede;1938;Het Nansen Internationaal Bureau voor Uitgewekenen (Zwi);
Nobelprijs;geneeskunde;1939;Gerhard Domagk (Dui);"voor de ontdekking van het sulfonamide prontosil, het eerste medicijn dat effectief tegen bacteriële infecties werkt; (onder dwang) geweigerd, in 1947 alsnog geaccepteerd"
Nobelprijs;literatuur;1939;Frans Eemil Sillanpää (Fin);for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature
Nobelprijs;natuurkunde;1939;Ernest Orlando Lawrence (VS) ;voor zijn uitvinding en ontwikkeling van het cyclotron en voor de daarmee verkregen resultaten, vooral met betrekking tot kunstmatige radioactieve elementen
Nobelprijs;scheikunde;1939;Adolf Friedrich Johann Butenandt (Dui), Lavoslav Ru?icka (Zwi) ;voor zijn verdiensten op het gebied van de geslachtshormonen. (Butenandt)
Nobelprijs;geneeskunde;1943;Carl Peter Henrik Dam (Den), Edward Adelbert Doisy (VS);voor de ontdekking van vitamine K en de chemische structuur ervan
Nobelprijs;natuurkunde;1943;Otto Stern (VS) ;voor zijn bijdrage aan de ontwikkeling van de molecuulstraalmethode en zijn ontdekking van het magnetisch moment van het proton
Nobelprijs;scheikunde;1943;George de Hevesy (Hon) ;voor zijn verdiensten op het gebied van het gebruik van isotopen om chemische processen te bestuderen
Nobelprijs;geneeskunde;1944;Joseph Erlanger (VS), Herbert Spencer Gasser (VS) ;voor de ontdekking van verschillende typen axonen
Nobelprijs;literatuur;1944;Johannes Vilhelm Jensen (Den);for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style
Nobelprijs;natuurkunde;1944;Isidor Isaac Rabi (VS) ;voor zijn resonantieprincipe om de magnetische eigenschappen van atoomkernen vast te leggen
Nobelprijs;scheikunde;1944;Otto Hahn (Dui) ;voor zijn ontdekking van kernfusie van zware atoomkernen
Nobelprijs;vrede;1944;Het Internationaal Comité van het Rode Kruis (Zwi);met terugwerkende kracht toegekend in 1945
Nobelprijs;geneeskunde;1945;Alexander Fleming (GB), Ernst Boris Chain (GB), Howard Walter Florey (GB) ;voor de ontdekking van penicilline en de eigenschappen ervan bij de genezing van infectieziekten
Nobelprijs;literatuur;1945;Gabriela Mistral (Chi);for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world
Nobelprijs;natuurkunde;1945;Wolfgang Pauli (Oos) ;voor zijn ontdekking van het uitsluitingsprincipe van Pauli
Nobelprijs;scheikunde;1945;Artturi Ilmari Virtanen (Fin) ;voor zijn onderzoek en ontdekkingen op het gebied van agricultuur en voedingschemie
Nobelprijs;vrede;1945;Cordell Hull (VS);mede-initiatiefnemer van de oprichting van de Verenigde Naties
